CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-06 08:00:00,27.0000,32.0000,45,435.0000,114.0000,31.0,63.0000,100
2024-07-06 08:30:00,30.0000,35.0000,50,436.0000,193.0000,31.0,63.0000,100
2024-07-06 09:00:00,27.0000,32.0000,45,440.0000,116.0000,31.0,63.0000,100
2024-07-06 09:30:00,45.0000,56.0000,75,430.0000,129.0000,31.0,63.0000,100
2024-07-06 10:00:00,63.0000,78.0000,110,440.0000,210.0000,31.0,64.0000,100
2024-07-06 10:30:00,66.0000,82.0000,120,443.0000,224.0000,31.0,64.0000,100
2024-07-06 11:00:00,61.0000,77.0000,103,449.0000,194.0000,31.0,64.0000,100
2024-07-06 11:30:00,63.0000,79.0000,110,447.0000,175.0000,31.0,63.0000,100
2024-07-06 12:00:00,63.0000,78.0000,110,428.0000,110.0000,31.0,63.0000,100
2024-07-06 12:30:00,51.0000,64.0000,85,416.0000,45.0000,31.0,62.0000,100
2024-07-06 13:00:00,46.0000,58.0000,77,410.0000,40.0000,32.0,61.0000,100
2024-07-06 13:30:00,46.0000,57.0000,77,415.0000,76.0000,31.0,63.0000,100
2024-07-06 14:00:00,46.0000,58.0000,77,415.0000,67.0000,32.0,63.0000,100
2024-07-06 14:30:00,40.0000,50.0000,67,417.0000,90.0000,32.0,63.0000,100
2024-07-06 15:00:00,38.0000,46.0000,63,422.0000,121.0000,32.0,63.0000,100
2024-07-06 15:30:00,36.0000,44.0000,60,428.0000,133.0000,32.0,63.0000,100
2024-07-06 16:00:00,34.0000,40.0000,57,423.0000,136.0000,32.0,64.0000,100
2024-07-06 16:30:00,29.0000,34.0000,48,427.0000,137.0000,32.0,63.0000,100
2024-07-06 17:00:00,31.0000,37.0000,52,424.0000,105.0000,32.0,62.0000,100
2024-07-06 17:30:00,31.0000,36.0000,52,424.0000,132.0000,32.0,62.0000,100
2024-07-06 18:00:00,28.0000,33.0000,47,421.0000,134.0000,32.0,62.0000,100
2024-07-06 18:30:00,20.0000,25.0000,33,417.0000,123.0000,31.0,64.0000,80
2024-07-06 19:00:00,18.0000,23.0000,30,420.0000,161.0000,31.0,64.0000,80
2024-07-06 19:30:00,15.0000,19.0000,25,420.0000,160.0000,31.0,63.0000,80
2024-07-06 20:00:00,13.0000,16.0000,22,422.0000,176.0000,31.0,63.0000,80
2024-07-06 20:30:00,16.0000,20.0000,27,438.0000,199.0000,31.0,63.0000,60
2024-07-06 21:00:00,18.0000,23.0000,30,428.0000,214.0000,31.0,64.0000,60
2024-07-06 21:30:00,19.0000,23.0000,32,427.0000,212.0000,32.0,62.0000,80
2024-07-06 22:00:00,23.0000,28.0000,38,427.0000,191.0000,32.0,61.0000,80
2024-07-06 22:30:00,15.0000,19.0000,25,430.0000,166.0000,32.0,61.0000,80
2024-07-06 23:00:00,9.0000,11.0000,15,428.0000,153.0000,32.0,61.0000,100
2024-07-06 23:30:00,7.0000,8.0000,12,422.0000,120.0000,32.0,60.0000,100
2024-07-07 00:00:00,7.0000,8.0000,12,430.0000,110.0000,32.0,60.0000,100
2024-07-07 00:30:00,8.0000,10.0000,13,424.0000,120.0000,31.0,60.0000,100
2024-07-07 01:00:00,7.0000,9.0000,12,422.0000,102.0000,31.0,60.0000,100
2024-07-07 01:30:00,5.0000,7.0000,8,418.0000,79.0000,31.0,60.0000,100
2024-07-07 02:00:00,5.0000,6.0000,8,417.0000,75.0000,31.0,59.0000,100
2024-07-07 02:30:00,6.0000,8.0000,10,419.0000,79.0000,31.0,59.0000,100
2024-07-07 03:00:00,6.0000,8.0000,10,419.0000,77.0000,31.0,59.0000,100
2024-07-07 03:30:00,6.0000,7.0000,10,418.0000,79.0000,31.0,59.0000,100
2024-07-07 04:00:00,17.0000,21.0000,28,423.0000,92.0000,31.0,60.0000,100
2024-07-07 04:30:00,24.0000,29.0000,40,432.0000,123.0000,31.0,60.0000,100
2024-07-07 05:00:00,28.0000,33.0000,47,431.0000,120.0000,31.0,60.0000,100
2024-07-07 05:30:00,29.0000,34.0000,48,426.0000,111.0000,31.0,60.0000,100
2024-07-07 06:00:00,9.0000,12.0000,15,422.0000,98.0000,31.0,60.0000,100
2024-07-07 06:30:00,4.0000,5.0000,7,420.0000,95.0000,31.0,60.0000,100
2024-07-07 07:00:00,4.0000,5.0000,7,424.0000,110.0000,31.0,60.0000,100
2024-07-07 07:30:00,4.0000,5.0000,7,422.0000,112.0000,31.0,59.0000,100
2024-07-07 08:00:00,4.0000,5.0000,7,425.0000,126.0000,31.0,59.0000,100
2024-07-07 08:30:00,6.0000,8.0000,10,420.0000,143.0000,31.0,59.0000,100
2024-07-07 09:00:00,10.0000,13.0000,17,415.0000,115.0000,31.0,59.0000,100
2024-07-07 09:30:00,10.0000,12.0000,17,414.0000,93.0000,31.0,59.0000,100
2024-07-07 10:00:00,7.0000,9.0000,12,414.0000,87.0000,31.0,59.0000,100
2024-07-07 10:30:00,7.0000,8.0000,12,420.0000,85.0000,31.0,59.0000,100
2024-07-07 11:00:00,8.0000,11.0000,13,410.0000,75.0000,31.0,59.0000,100
2024-07-07 11:30:00,9.0000,12.0000,15,424.0000,68.0000,31.0,60.0000,100
2024-07-07 12:00:00,7.0000,9.0000,12,421.0000,61.0000,31.0,59.0000,100
2024-07-07 12:30:00,7.0000,8.0000,12,412.0000,63.0000,31.0,59.0000,100
2024-07-07 13:00:00,7.0000,9.0000,12,407.0000,46.0000,31.0,59.0000,100
2024-07-07 13:30:00,8.0000,10.0000,13,407.0000,70.0000,31.0,60.0000,100
2024-07-07 14:00:00,13.0000,16.0000,22,416.0000,119.0000,31.0,60.0000,100
2024-07-07 14:30:00,8.0000,11.0000,13,411.0000,79.0000,31.0,60.0000,100
2024-07-07 15:00:00,6.0000,7.0000,10,414.0000,105.0000,31.0,58.0000,100
2024-07-07 15:30:00,5.0000,7.0000,8,408.0000,76.0000,32.0,57.0000,100
2024-07-07 16:00:00,9.0000,12.0000,15,540.0000,152.0000,32.0,57.0000,100
2024-07-07 16:30:00,3.0000,4.0000,5,414.0000,83.0000,32.0,53.0000,100
2024-07-07 17:00:00,2.0000,3.0000,3,408.0000,88.0000,32.0,53.0000,100
2024-07-07 17:30:00,2.0000,4.0000,4,409.0000,89.0000,32.0,52.0000,100
2024-07-07 18:00:00,2.0000,3.0000,3,406.0000,84.0000,32.0,53.0000,100
